Family,Genus,species,bar_code,plot_code,X,Y,DBH,leaf_thickness,leaf_toughness,sapwood_density,N,C_N,N15,C13,chlorophyll_concentration,surface_area,SLA
Anacardiaceae,Anacardium,spruceanum,A110274,A11,66,80,26.8,146.2333323,0.380000005,0.42,NA,NA,NA,NA,22.22201812,35.23333333,18.47902132
Anacardiaceae,Anacardium,spruceanum,M17116070,M1711,18,52,15,165.3333333,1.956666748,0.5243,NA,NA,NA,NA,73.4632815,200.5,15.40332894
Anacardiaceae,Anacardium,spruceanum,NH200022,NH20,10,336,29,182.5333354,1.806666652,0.4601,0.023681817,20.32704095,2.706561743,-32.86131778,42.90330494,140.4666667,11.15995791
Anacardiaceae,Anacardium,spruceanum,NH200352,NH20,66,393,14,111.5666656,1.200000008,0.5122,NA,NA,NA,NA,63.33530277,37.8,15.42857113
Anacardiaceae,Anacardium,spruceanum,P01860002,P018,29,2,15,158.6666667,1.969999989,0.4611,0.028779279,16.28696866,4.5931409,-32.78709957,50.06590848,131.6333333,15.00379923
Anacardiaceae,Anacardium,spruceanum,P01860149,P018,60,14,16.7,150.8666687,1.543333312,0.4293,0.025552408,18.51348104,3.88546278,-33.26875516,44.28631044,129.1333333,13.034993
Anacardiaceae,Anacardium,spruceanum,P01860201,P018,79,21,18.3,130,1.816666643,0.4527,0.027203901,17.27318464,5.218629839,-33.23182602,43.14852943,152.8333333,19.26470592
Anacardiaceae,Astronium,lecointei,LV109053,LV1,107.4,32.7,37.10191083,NA,NA,0.64792,NA,NA,NA,NA,NA,NA,NA
Anacardiaceae,Astronium,lecointei,LV109186,LV1,131.2,93.3,12.89808917,140.6666667,1.043333352,0.77389,NA,NA,NA,NA,60.93896413,47.88960012,13.63081591
Anacardiaceae,Astronium,lecointei,LV109250,LV1,142.9,1.6,15.92356688,176.3333333,1.286666671,NA,0.021882344,21.83030657,1.569073297,-31.44423792,58.78275304,60.48126729,11.63847361
Anacardiaceae,Astronium,lecointei,LV109392,LV1,166.7,24,10.50955414,146,1.109999994,NA,NA,NA,NA,NA,49.7458163,38.13370005,17.3598029
Anacardiaceae,Astronium,ulei,NH200376,NH20,72,335,12.5,153.6666667,0.926666657,0.7377,NA,NA,NA,NA,89.25788685,31.46666667,11.72670819
Anacardiaceae,Tapirira,bethanniana,LV112768,LV1,150.8,22.3,9.394904459,205.3333333,0.899999996,0.59279,NA,NA,NA,NA,84.87356891,42.96820068,9.713986648
Anacardiaceae,Tapirira,bethanniana,M17116094,M1711,24,72,15.8,220.6666667,1.286666671,0.5738,NA,NA,NA,NA,82.40735657,75.76666667,10.08877043
Anacardiaceae,Tapirira,guianensis,P01860290,P018,96,30,17.8,169.2333323,1.059999983,0.5944,0.019669651,23.10718487,0.152921398,-33.48024193,90.15768614,146.0333333,10.84405951
Anacardiaceae,Tapirira,guianensis,P01860373,P018,1,49,31.7,274.1999919,1.696666678,0.5751,0.016291191,28.99912204,-0.718487099,-28.76509205,121.4575437,26.56666667,8.04238146
Anacardiaceae,Tapirira,guianensis,P01860496,P018,31,93,19.9,193.9666697,1.396666686,0.5482,0.019972324,23.4949767,3.050334817,-32.66003137,87.48152066,28.66666667,13.52201242
Anacardiaceae,Tapirira,guianensis,T10376,T1,21,84,48.5,163.3333333,0.613333335,0.50945,0.020240467,23.091364,1.30425318,-31.76935321,51.25016501,65.07099915,14.65563025
Anacardiaceae,Tapirira,obtusa,B435009,B4,70,89,26.7,189.5666656,1.473333359,0.46,NA,NA,NA,NA,53.78135416,41.73333333,10.78380722
Anacardiaceae,Tapirira,obtusa,LV109372,LV1,158.5,47.7,25.47770701,263.3333333,1.23666666,0.50464,0.01657269,28.67689452,-1.670352227,-34.31269563,67.15058433,48.79533386,10.04019233
Anacardiaceae,Tapirira,obtusa,M17116116,M1711,2,91,28.2,170.1333313,0.893333316,0.4686,NA,NA,NA,NA,77.50629596,101.5333333,12.31204509
Anacardiaceae,Tapirira,obtusa,M17116513,M1711,37,10,21.8,184.6999969,1.113333344,0.3681,0.021925028,23.25871078,-0.259923381,-31.76613484,60.69677775,53.06666667,12.50589158
Anacardiaceae,Tapirira,obtusa,M17119841,M1711,NA,NA,NA,191.4666646,0.926666677,0.31,NA,NA,NA,NA,70.85997361,67.33333333,9.786821656
Anacardiaceae,Tapirira,obtusa,T10362,T1,24.5,49,15.9,180,0.75999999,0.5292,NA,NA,NA,NA,79.8521392,59.58653386,13.46081298
Anacardiaceae,Thyrsodium,guianense,B427001,B4,33,76,22.3,221.6666667,1.376666665,0.58,NA,NA,NA,NA,72.90924299,35.43333333,9.267654391
Anacardiaceae,Thyrsodium,guianense,B429023,B4,36,45,25.5,220.3333333,1.669999997,0.6,0.0139089,36.44406725,1.727631259,-33.22503833,71.81077286,21.53333333,10.94915248
Anacardiaceae,Thyrsodium,guianense,LV109018,LV1,105,67.8,28.66242038,323.3333333,1.603333354,0.59986,0.015282285,33.61691645,0.620834369,-30.75492458,69.71822102,22.77853266,7.185657067
Anacardiaceae,Thyrsodium,guianense,LV109455,LV1,181,47.4,25.89171975,NA,1.976666649,0.61389,NA,NA,NA,NA,69.11935557,NA,NA
Anacardiaceae,Thyrsodium,guianense,LV109545,LV1,186.5,38.1,17.8343949,374.6666667,2.00333337,0.6051,NA,NA,NA,NA,94.43411797,36.35003281,8.887538597
Anacardiaceae,Thyrsodium,guianense,M17116458,M1711,40,61,16.1,248.3333333,2.313333352,0.6136,NA,NA,NA,NA,72.22120983,46.6,8.142108575
Anacardiaceae,Thyrsodium,guianense,P00610440,P006,57,177,21.3,244.8000031,2.089999994,0.657,0.014517717,34.56170905,-1.307901156,-31.65235903,87.40150103,31.5,7.286044602
Anacardiaceae,Thyrsodium,guianense,P00610524,P006,69,185,19.4,280.3333333,2.056666652,0.6676,0.015930229,30.9284058,-1.607030888,-30.73751824,54.28551475,18.4,7.852062488
Anacardiaceae,Thyrsodium,guianense,P00610609,P006,76,180,31.4,237.1333313,2.106666644,0.6115,0.015372786,32.40994567,-2.595004875,-31.97309215,101.0535319,63.5,7.35805334
Anacardiaceae,Thyrsodium,guianense,P00612503,P006,53,158,13.2,258.9999949,1.516666651,0.7156,0.014429662,33.94504868,-1.00159041,-31.34208185,76.2111489,20.73333333,7.814070607
Anacardiaceae,Thyrsodium,puberulum,A110197,A11,42,3,40,238.100001,1.733333349,0.52,0.014870956,35.03528906,1.229655373,-30.0863261,63.77226161,66.86666667,8.078936834
Anacardiaceae,Thyrsodium,puberulum,B427038,B4,44,76,11.3,254.4666646,2.266666651,0.5,NA,NA,NA,NA,77.4338894,271.8666667,9.723414388
Anacardiaceae,Thyrsodium,puberulum,B436022,B4,60,53,26.4,230.899999,1.909999967,0.48,NA,NA,NA,NA,65.28659271,59.3,9.392819461
Anacardiaceae,Thyrsodium,puberulum,B444036,B4,84,63,21,270.2333374,1.76333336,0.52,0.013853721,36.81677096,1.851501071,-32.13978485,65.54145305,74.53333333,7.116486135
Anacardiaceae,Thyrsodium,puberulum,LV109055,LV1,101.8,38.8,21.33757962,NA,2.636666616,0.51468,NA,NA,NA,NA,82.02743715,170.2569987,8.809434073
Anacardiaceae,Thyrsodium,puberulum,LV109080,LV1,125.4,27.8,26.11464968,270.3333333,2.296666622,0.51186,0.013820668,37.07562775,-0.528695608,-33.09396174,61.24262514,106.0420329,8.46530328
Anacardiaceae,Thyrsodium,puberulum,M17116024,M1711,24,13,18.7,159.899999,1.343333364,NA,NA,NA,NA,NA,31.10939888,45.56666667,13.96322733
Anacardiaceae,Thyrsodium,puberulum,M17116075,M1711,4,56,10.2,248,2.883333325,NA,NA,NA,NA,NA,65.60527274,129,8.563841457
Anacardiaceae,Thyrsodium,puberulum,M17116114,M1711,3,90,11.1,172.2333323,2.050000032,0.5336,NA,NA,NA,NA,40.01808221,170.2333333,15.28584274
Anacardiaceae,Thyrsodium,puberulum,M17116436,M1711,40,80,17.8,248.9999949,2.030000051,0.4207,0.012790919,39.57842927,0.962529404,-34.1598298,61.97565235,117.9666667,7.840053274
Anacardiaceae,Thyrsodium,puberulum,M17116478,M1711,34,48,31.2,216.2333323,1.75999999,NA,0.013951144,36.29311152,-0.056558085,-33.32679761,60.99961035,77.86666667,9.415558219
Anacardiaceae,Thyrsodium,puberulum,M17116544,M1711,64,17,41.7,253.0999959,2.119999965,NA,0.013677596,36.86160448,-0.810093632,-31.04471773,51.03359913,95.26666667,8.455621314
Anacardiaceae,Thyrsodium,puberulum,M17116573,M1711,59,29,10,268.5666707,2.543333371,NA,NA,NA,NA,NA,78.3794081,288.3333333,8.255392121
Anacardiaceae,Thyrsodium,puberulum,M17116574,M1711,55,31,11.8,181.4333344,1.706666668,NA,NA,NA,NA,NA,60.45525152,83.86666667,12.64321602
Anacardiaceae,Thyrsodium,puberulum,M17116611,M1711,51,66,12.7,184.6666667,1.803333362,0.4785,NA,NA,NA,NA,59.49566255,94.23333333,11.12992143
Anacardiaceae,Thyrsodium,puberulum,M17116904,M1711,94,42,36,233.8666687,2.163333337,NA,0.013352292,38.22958246,-0.099879441,-32.97344978,72.56460124,138.9,9.023386688
Anacardiaceae,Thyrsodium,puberulum,M17118965,M1711,95,91,10.8,253.3333282,3.209999959,0.4889,NA,NA,NA,NA,67.99858417,121.2333333,7.666526206
Anacardiaceae,Thyrsodium,puberulum,NH200498,NH20,95,315,27.3,267.4333293,1.543333332,0.5163,0.014789744,34.71125869,0.937108997,-31.27214206,64.77900668,105.3333333,7.113912792
Anacardiaceae,Thyrsodium,puberulum,NL110237,NL11,140,79,31.4,239.6666718,1.733333349,0.5621,NA,NA,NA,NA,51.57605961,117.3666667,9.628110459
Anacardiaceae,Thyrsodium,puberulum,NL110616,NL11,156,65,10.987,140.200002,1.056666652,NA,0.024641031,19.72960239,4.427306179,-31.54635364,39.92369828,83.96666667,22.65287854
Anacardiaceae,Thyrsodium,puberulum,P01860298,P018,97,37,10.5,234.4333344,1.983333349,0.5942,NA,NA,NA,NA,55.70169058,147.4,13.24348613
Anacardiaceae,Thyrsodium,puberulum,T10363,T1,29,42,16.9,226.6666667,1.836666663,0.53494,NA,NA,NA,NA,88.36586208,164.0876643,11.45330344
Anacardiaceae,IND,sp. B1,M17119801,M1711,36,21,10.5,184.8666687,1.026666661,0.4614,NA,NA,NA,NA,59.19791517,100.5,12.00716857
Annonaceae,Annona,prevostiae,A110112,A11,29,95,14.8,234.200002,1.366666635,0.28,0.028358423,17.72658346,2.800133669,-30.67204133,68.92059008,102,12.31388323
Annonaceae,Duguetia,calycina,B430051,B4,32,0,11.4,282.0999959,2.230000019,0.59,NA,NA,NA,NA,71.60622217,89.86666667,10.64350576
Annonaceae,Duguetia,calycina,B430052,B4,38,0,14.3,233.7666677,2.049999992,0.67,NA,NA,NA,NA,40.4917058,91.03333333,14.10640482
Annonaceae,Duguetia,calycina,B430061,B4,49,1,12.9,242.7666677,1.636666695,NA,NA,NA,NA,NA,52.78187734,80.3,15.02807222
Annonaceae,Duguetia,calycina,B438047,B4,52,2,11,231.2333323,1.99666667,NA,NA,NA,NA,NA,51.35865519,85.96666667,12.7044333
Annonaceae,Duguetia,calycina,M17116565,M1711,65,32,14.3,224.7666677,1.966666659,0.6983,NA,NA,NA,NA,34.15397482,84.2,16.77290856
Annonaceae,Duguetia,calycina,P00610117,P006,15,188,10.7,250.5666707,2.006666621,0.7286,0.02193656,21.28833172,3.372633517,-34.44165108,61.73063993,37.63333333,12.04909296
Annonaceae,Duguetia,calycina,P00610657,P006,88,146,12.1,234.3333384,2.263333321,0.6734,0.021719396,21.49206603,0.754690253,-34.44799045,69.71821847,34.16666667,12.17339656
Annonaceae,Duguetia,surinamensis,NH200001,NH20,5,303,14.9,170.4333344,1.546666662,NA,0.030964232,15.0686018,3.916113243,-32.79840714,65.47767062,35.23333333,11.53930139
Annonaceae,Duguetia,surinamensis,NH200152,NH20,34,312,13,159.5666656,1.543333332,NA,NA,NA,NA,NA,65.09591666,32,13.63636371
Annonaceae,Duguetia,surinamensis,NH200288,NH20,53,374,25.8,177.5666656,2.056666613,0.8143,NA,NA,NA,NA,52.34140889,38.06666667,11.84647319
Annonaceae,Duguetia,surinamensis,NH200303,NH20,61,312,14.6,154.100001,1.393333316,NA,NA,NA,NA,NA,50.76367488,27.66666667,14.31034524
Annonaceae,Duguetia,surinamensis,NH200334,NH20,65,372,15.3,144.6333364,1.546666662,NA,NA,NA,NA,NA,62.96244654,26.33333333,9.622411578
Annonaceae,Duguetia,surinamensis,NH200349,NH20,62,391,16.7,159.4333344,1.726666649,NA,NA,NA,NA,NA,46.91919421,48.1,14.47342057
Annonaceae,Duguetia,surinamensis,NH200473,NH20,85,376,21.3,177.3333333,1.546666662,NA,NA,NA,NA,NA,62.15985144,57.86666667,13.32310051
Annonaceae,Duguetia,surinamensis,NH200542,NH20,93,387,13.6,176.2333323,1.583333333,NA,0.034103754,13.98272824,2.26740138,-32.78584116,60.69677775,36.3,12.60416677
Annonaceae,Duguetia,surinamensis,NL110001,NL11,108,0,19.5,191,1.686666648,0.7074,0.033631033,14.43260295,4.152969052,-33.28568338,51.79402368,59.2,14.49795925
Annonaceae,Duguetia,surinamensis,NL110097,NL11,114,58,27.6,173.899999,1.713333289,0.7148,0.029538374,15.61176688,6.549843201,-32.19975313,46.15093792,25.7,11.42222202
Annonaceae,Duguetia,surinamensis,NL110246,NL11,140,97,11.2,167.3666636,1.729999979,0.7503,0.035492433,13.53308532,4.044303684,-33.15952324,49.4269453,55.03333333,13.39010565
Annonaceae,Duguetia,surinamensis,NL110496,NL11,184,75,22.5,201.3333333,2.046666702,NA,0.029860599,16.41932123,5.959493794,-31.36285515,69.85182274,63.56666667,9.621594237
Annonaceae,Fusaea,longifolia,A110273,A11,64,82,10.8,173.899999,1.320000013,0.63,NA,NA,NA,NA,52.34140889,54.9,13.69077296
Annonaceae,Fusaea,longifolia,A110319,A11,71,28,12.4,209,2.00999999,0.7,NA,NA,NA,NA,64.65255061,132.5333333,9.878260928
Annonaceae,Fusaea,longifolia,A110392,A11,85,32,11.3,165.0666656,1.793333292,0.66,NA,NA,NA,NA,53.00297229,87.83333333,12.14285705
Annonaceae,Fusaea,longifolia,NH200249,NH20,55,312,31.7,207.3333333,1.599999984,0.5512,0.020154008,23.96297322,0.395679043,-33.03131606,83.47887624,31.33333333,6.225165479
Annonaceae,Fusaea,longifolia,NH200642,NH20,26,343,13,176.4666646,1.369999965,0.4386,0.015046199,25.48653524,0.57042255,-33.73861104,75.42811855,84.23333333,10.472441
Annonaceae,Fusaea,longifolia,NL110220,NL11,140,50,15.5,257.6333313,1.450000008,0.5101,0.017182894,28.62904788,3.358026971,-33.39528166,94.2630898,50.6,7.926893108
Annonaceae,Fusaea,longifolia,NL110414,NL11,179,17,10.1,194.2333323,1.620000005,0.6241,0.018663575,26.72254924,5.447234081,-32.04965254,37.5089051,99.53333333,12.20269705
Annonaceae,Fusaea,longifolia,T10035,T1,104,98.5,18.1,220,1.75999999,0.63014,0.022602088,22.26062822,2.306459781,-33.09975001,72.01576739,89.41800181,11.52293833
Annonaceae,Fusaea,longifolia,T10106,T1,88.5,19.5,11,183.3333333,1.279999971,0.64103,NA,NA,NA,NA,59.6150437,49.67553329,14.59614084
Annonaceae,Fusaea,longifolia,T10288,T1,41.5,81,11,233.3333333,2.036666671,NA,NA,NA,NA,NA,74.93312333,130.7213313,12.38282268
Annonaceae,Fusaea,longifolia,T12003,T1,65.5,87,10.5,193.3333333,1.409999967,0.60096,NA,NA,NA,NA,65.54145061,79.51723353,14.72541357
Annonaceae,Guatteria,anthracina,NH200044,NH20,3,388,33.1,278.6666667,1.666666667,0.4607,0.020258385,23.4686186,1.51777043,-33.57213918,85.49967277,36.7,8.965798154
Annonaceae,Guatteria,brevicuspis,LV109390,LV1,163.2,24,22.22929936,275,2.116666635,NA,0.016840893,29.09169181,0.772892032,-31.74038449,84.25131917,44.6419665,7.030231051
Annonaceae,Guatteria,brevicuspis,LV109434,LV1,178.6,22.9,16.71974522,263.6666667,2.633333286,NA,NA,NA,NA,NA,90.89974418,143.3187968,8.498841252
Annonaceae,Guatteria,brevicuspis,LV109510,LV1,198.7,82,17.67515924,313.3333333,2.293333371,NA,0.015941077,29.52138159,1.599575376,-33.9477638,68.26107889,169.5155373,9.61154045
Annonaceae,Guatteria,guianensis,P01860374,P018,2,49,10,235,1.896666646,0.5816,0.013553435,35.60262686,1.483566788,-35.51872227,60.15426073,524.0333333,9.370567141
Annonaceae,Guatteria,guianensis,P01860473,P018,87,98,14,254.0333354,2.48333327,0.5753,0.015558288,31.60578111,3.645895564,-34.37983547,66.37467546,396.5,9.007269362
Annonaceae,Guatteria,sp. B1,LV109459,LV1,174.8,52.2,13.21656051,NA,1.593333284,NA,NA,NA,NA,NA,60.99961035,51.33120092,15.03843749
Annonaceae,Guatteria,wachenheimii,A110155,A11,38,41,13.5,176.6666667,2.210000038,0.62,0.018435006,27.536018,3.003864685,-33.63927824,71.94738474,68,11.28318604
Annonaceae,Guatteria,wachenheimii,A110169,A11,25,23,13.7,173.2333323,2.856666644,0.56,NA,NA,NA,NA,78.01466308,64.16666667,10.15295344
Annonaceae,Guatteria,wachenheimii,A110187,A11,25,7,16.2,167.1333313,2.26666673,0.52,NA,NA,NA,NA,92.23216299,55.46666667,10.30978958
Annonaceae,Guatteria,wachenheimii,A110435,A11,92,98,22.3,201.5333354,2.403333346,0.55,0.016375057,30.66597845,2.789635828,-33.23093017,68.26108139,52.7,8.912063189
Annonaceae,Guatteria,wachenheimii,B444068,B4,92,64,11.6,164.4333344,1.339999994,0.53,NA,NA,NA,NA,66.95599142,71.8,12.53783495
Annonaceae,Guatteria,wachenheimii,B446068,B4,94,19,14.6,160.899999,1.549999992,NA,0.019114908,25.4055284,1.243125608,-32.99131659,78.45252579,52.53333333,10.70652172
Annonaceae,Guatteria,wachenheimii,B446072,B4,89,17,10.8,176.8666687,1.709999998,0.63,NA,NA,NA,NA,81.6489674,52.43333333,8.705035774
Annonaceae,Guatteria,wachenheimii,LV109164,LV1,131.9,61.2,11.46496815,180.3333333,2.00333337,NA,NA,NA,NA,NA,79.92635709,101.6599325,10.99422466
Annonaceae,Guatteria,wachenheimii,NH200401,NH20,70,374,16,153.2333323,1.976666689,0.5549,NA,NA,NA,NA,51.03360119,79.63333333,11.99297181
Annonaceae,Guatteria,wachenheimii,NL110542,NL11,194,56,16.9,155.4666646,1.776666641,0.548,0.018459309,25.75208189,4.753532279,-33.83627595,61.85306229,97.93333333,12.41758244
Annonaceae,Guatteria,wachenheimii,NL110627,NL11,194,83,10.287,135.2333323,1.629999995,NA,0.01931645,24.27186134,4.379201205,-35.32740412,52.28651163,111.3,16.20087298
Annonaceae,Oxandra,asbeckii,A110268,A11,66,89,11.1,201.3333333,1.643333316,0.75,NA,NA,NA,NA,60.81778623,24.46666667,14.19729235
Annonaceae,Oxandra,asbeckii,A110368,A11,93,15,12.4,200,1.846666654,0.78,NA,NA,NA,NA,108.489161,26.56666667,11.2411849
Annonaceae,Oxandra,asbeckii,A110377,A11,88,27,10.8,211.6999969,1.616666635,0.78,NA,NA,NA,NA,101.7841272,22.43333333,10.87237475
Annonaceae,Oxandra,asbeckii,A112000,A11,19,21,10.4,185.899999,1.646666646,NA,NA,NA,NA,NA,54.73615974,22.43333333,16.02380946
Annonaceae,Oxandra,asbeckii,LV109022,LV1,114,66.6,16.87898089,214,1.316666683,0.73298,NA,NA,NA,NA,87.16182634,16.60909939,11.35018193
Annonaceae,Oxandra,asbeckii,LV109023,LV1,116.9,64.9,14.64968153,269.3333333,1.559999983,0.7451,0.017975479,27.2325538,0.624165265,-31.54809941,67.21553595,22.86290042,8.942464081
Annonaceae,Oxandra,asbeckii,LV109026,LV1,116.8,71.3,14.64968153,NA,NA,0.73727,NA,NA,NA,NA,NA,NA,NA
Annonaceae,Oxandra,asbeckii,LV109029,LV1,119.7,59.3,10.66878981,202.3333333,1.406666676,0.71084,NA,NA,NA,NA,66.24599208,27.28446643,12.38326742
Annonaceae,Oxandra,asbeckii,LV109030,LV1,105.6,60.1,17.19745223,260.6666667,2.086666663,NA,NA,NA,NA,NA,81.12151524,13.65880013,8.92732022
