Country,Biome,Site,Latitude,Longitude,Altitude,Atm_Press,Responsible,Species,Family,Genus,PFT_LPJ,PFT_Sheffield,PFT_JULES,PFT_Wright,PFT_JULES2,PFT_Exeter,H.sphere,Temp.class,Aa_sat,gs_sat,Ci_sat,LfT_sat,Rdark_a,LfT_Rdark,Am_sat,Rdark_m,FixedQ10,varQ10,Rdarka_25C_FixedQ10,Rdarkm_25C_FixedQ10,Rdarka_TWQ.T_FixedQ10,Rdarka_25C_varQ10,Rdarkm_25C_varQ10,Rdarka_MeasMonth.T_varQ10,Rdarkm_MeasMonth.T_varQ10,Rdarka_TWQ.T_varQ10,Rdarkm_TWQ.T_varQ10,Leaf_Nm,Leaf_Pm,Leaf_Na,Leaf_Pa,LMA,Vcmax_a_LfT,Vcmax_a_25,Vcmax_m_25,Rdarka:Vcmax_LfT,Rdarka:Vcmax_25C_varQ10,MAT,MeanT_WarmestQtr,Annual_Precip,Precip_Warmest_Qtr,Measuring_Month_MeanT,ai_yr,pet_yr
Costa Rica,TrRF_lw,10?26'N_83?59'W,10.43,-83.98,105,100.07,Niinemets,Piper sancti-felicis,Piperaceae,Piper,TrpEvBl,EvBl,S,AnEvBlS,EvS,SEv,North,5th~25plus,5.57,NA,NA,30.5,0.24,30.5,185.4,18.5,2.23,1.9,0.15,11.9,0.18,0.17,13.0,NA,NA,0.19,15.0,34.58,NA,1.04,NA,30.0,NA,NA,NA,NA,NA,26.1,27.2,3981,731,NA,2.515,1583
Costa Rica,TrRF_lw,10?28'N_84?02'W,10.47,-84.03,140,99.66,Niinemets,Pentaclethra macroloba,Fabaceae,Pentaclethra,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,6.08,0.122,266.7,26,0.41,26,155.6,13.9,2.23,1.99,0.38,12.9,0.43,0.39,13.0,NA,NA,0.43,14.5,NA,NA,NA,NA,42.3,31.3,28.7,719.7,0.01,0.02,25.6,26.6,4168,750,NA,2.658,1568
Bangladesh,TrRF_lw,24?12'N_90?9'E,24.2,90.15,21,101.07,Niinemets,Bischofia javanica,Phyllanthaceae,Bischofia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,6.20,NA,NA,26,0.49,26,205.1,21.3,2.23,1.99,0.45,19.7,0.60,0.46,19.9,NA,NA,0.58,25.4,NA,NA,NA,NA,28.3,NA,NA,NA,NA,NA,25.5,28.5,1970,736,NA,1.344,1466
USA-PN,TeDF,40?47'N_77?53'W,40.78,-77.88,348,97.23,Niinemets,Acer saccharum,Sapindaceae,Acer,TmpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTmp,North,4th~20to25,2.30,0.035,247.5,25,0.37,25,91.3,14.7,2.23,2.02,0.37,14.7,0.26,0.37,14.7,NA,NA,0.27,10.8,20.70,NA,0.52,NA,25.2,12.4,12.4,493.0,0.03,0.03,9.5,20.6,986,285,NA,0.986,1000
USA-PN,TeDF,40?48'N_77?50'W,40.8,-77.83,335,97.38,Niinemets,Acer platanoides,Sapindaceae,Acer,TmpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTmp,North,4th~20to25,4.54,0.050,208.4,25,0.39,25,170.0,14.6,2.23,2.02,0.39,14.6,0.28,0.39,14.6,NA,NA,0.29,10.9,20.10,NA,0.54,NA,26.7,27.1,27.1,1013.5,0.01,0.01,9.6,20.8,984,286,NA,0.972,1012
USA-PN,TeDF,40?48'N_77?50'W,40.8,-77.83,335,97.38,Niinemets,Acer saccharum,Sapindaceae,Acer,TmpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTmp,North,4th~20to25,2.42,0.032,232.0,25,0.34,25,104.3,14.7,2.23,2.02,0.34,14.7,0.24,0.34,14.7,NA,NA,0.25,10.9,19.90,NA,0.46,NA,23.2,13.7,13.7,588.2,0.03,0.02,9.6,20.8,984,286,NA,0.972,1012
USA-PN,TeDF,40?49'N_77?56'W,40.82,-77.93,400,96.63,Niinemets,Quercus velutina,Fagaceae,Quercus,TmpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTmp,North,3rd~15to20,2.19,NA,NA,28.5,0.87,28.5,40.1,5.2,2.23,1.94,0.66,4.0,0.35,0.69,4.2,NA,NA,0.41,2.5,NA,NA,NA,NA,54.6,NA,NA,NA,NA,NA,9.1,17.2,704,190,NA,0.71,991
Venezuela,TrRF_lw,8?39'N__71?24'W,8.65,-71.4,2350,76.69,Niinemets,Alchornea triplinervia,Euphorbiaceae,Alchornea,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,3rd~15to20,3.64,0.205,322.6,18,0.26,18,89.9,6.4,2.23,2.17,0.46,11.2,0.21,0.45,10.9,NA,NA,0.21,5.1,22.41,NA,0.90,NA,40.0,9.9,18.6,459.7,0.03,0.03,14.7,15.1,1400,458,NA,1.053,1329
Panama,TrRF_lw,9?10'N__79?51'W,9.17,-79.85,90,100.25,Niinemets,Uncaria tomentosa,Rubiaceae,Uncaria,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,North,5th~25plus,11.50,0.290,288.1,29.5,0.84,29.5,146.5,10.7,2.23,1.92,0.59,7.5,0.72,0.63,8.0,NA,NA,0.74,9.4,22.00,NA,1.73,NA,78.5,64.0,43.4,552.4,0.01,0.01,26.6,27.5,2624,410,NA,1.9,1398
USA-MI,TeDF,Allegan,42.53,-85.855,200,98.95,Reich,Pinus banksiana,Pinaceae,Pinus,TmpEvNl,EvNl,NlT,GyEvNlT,EvNlT,NlEv,North,3rd~15to20,NA,NA,NA,20,NA,20,NA,4.6,2.23,2.12,NA,6.9,NA,NA,6.8,NA,NA,NA,4.6,14.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,19.9,944,268,NA,0.98,963
