Pot ID,Genus,Species,Soil moisture,Diversity level,Species combination,Species_n,LA,SA,Huber value,,,,
3,Acer,A. pseudoplatanus,dry,mix3,A.p.-C.b.-F.e.,2,0.206,0.859,0.246,,,,
7,Acer,A. pseudoplatanus,moist,mix3,A.p.-C.b.-F.e.,2,0.162,0.755,0.227,,,,
8,Acer,A. pseudoplatanus,moist,mix3,A.p.-F.s.-F.e.,2,0.389,1.415,0.276,,,,
10,Acer,A. pseudoplatanus,moist,mix3,A.p.-C.b.-T.c.,1,0.128,0.683,0.187,,,,
13,Acer,A. pseudoplatanus,dry,mix3,A.p.-F.s.-F.e.,1,0.131,0.677,0.194,,,,
14,Acer,A. pseudoplatanus,moist,mix3,A.p.-C.b.-F.e.,1,0.118,0.628,0.189,,,,
24,Acer,A. pseudoplatanus,dry,mono,A.p.,5,0.226,1.045,0.216,,,,
31,Acer,A. pseudoplatanus,dry,mix3,A.p.-F.s.-F.e.,1,0.135,0.518,0.260,,,,
34,Acer,A. pseudoplatanus,moist,mono,A.p.,5,0.190,0.944,0.196,,,,
35,Acer,A. pseudoplatanus,moist,mix3,A.p.-C.b.-T.c.,2,0.127,0.669,0.190,,,,
37,Acer,A. pseudoplatanus,moist,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,1,0.170,0.940,0.181,,,,
39,Acer,A. pseudoplatanus,dry,mix3,A.p.-C.b.-F.e.,2,0.198,0.833,0.238,,,,
44,Acer,A. pseudoplatanus,moist,mix3,A.p.-C.b.-T.c.,2,0.117,0.832,0.135,,,,
50,Acer,A. pseudoplatanus,dry,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,1,0.053,0.329,0.160,,,,
51,Acer,A. pseudoplatanus,dry,mix3,A.p.-C.b.-F.e.,1,0.070,0.480,0.146,,,,
56,Acer,A. pseudoplatanus,moist,mix3,A.p.-C.b.-T.c.,2,0.103,0.543,0.182,,,,
60,Acer,A. pseudoplatanus,moist,mix3,A.p.-C.b.-F.e.,1,0.083,0.510,0.162,,,,
63,Acer,A. pseudoplatanus,dry,mono,A.p.,5,0.154,0.761,0.201,,,,
64,Acer,A. pseudoplatanus,moist,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,1,0.150,0.922,0.163,,,,
65,Acer,A. pseudoplatanus,moist,mono,A.p.,5,0.173,1.129,0.155,,,,
68,Acer,A. pseudoplatanus,dry,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,1,0.137,0.604,0.227,,,,
