No,Genus,Species,Soil moisture,Diversity level,Treatment,Pot ID,Tree,Tree ID,ks,gs,d13C
1,Acer,A. pseudoplatanus,dry,mix5,dry_mix_5,50,Ah1,50 Ah1,0.248,NA,NA
2,Acer,A. pseudoplatanus,dry,mix5,dry_mix_5,68,Ah1,68 Ah1,0.606,211.4,-26.065
3,Acer,A. pseudoplatanus,dry,mix5,dry_mix_5,81,Ah1,81 Ah1,1.046,165.8,-26.034
4,Acer,A. pseudoplatanus,dry,mix5,dry_mix_5,103,Ah1,103 Ah1,0.37,122,-27.186
5,Acer,A. pseudoplatanus,dry,mix5,dry_mix_5,106,Ah1,106 Ah1,1.051,163.5,-27.509
6,Acer,A. pseudoplatanus,dry,mix5,dry_mix_5,133,Ah1,133 Ah1,0.567,186.9,-27.327
7,Acer,A. pseudoplatanus,dry,mix5,dry_mix_5,169,Ah1,169 Ah1,0.811,179.8,-26.615
8,Acer,A. pseudoplatanus,dry,mono,dry_mono,24,Ah3,24 Ah3,0.925,159.1,-25.603
9,Acer,A. pseudoplatanus,dry,mono,dry_mono,63,Ah2,63 Ah2,0.902,265.1,-26.807
10,Acer,A. pseudoplatanus,dry,mono,dry_mono,97,Ah4,97 Ah4,NA,308.6,-27.577
11,Acer,A. pseudoplatanus,dry,mono,dry_mono,97,Ah5,97 Ah5,1.26,NA,NA
12,Acer,A. pseudoplatanus,dry,mono,dry_mono,117,Ah2,117 Ah2,0.552,247.4,-26.31
13,Acer,A. pseudoplatanus,dry,mono,dry_mono,117,Ah3,117 Ah3,0.681,NA,NA
14,Acer,A. pseudoplatanus,dry,mono,dry_mono,144,Ah2,144 Ah2,0.397,140,-26.587
15,Acer,A. pseudoplatanus,dry,mono,dry_mono,168,Ah1,168 Ah1,0.688,311.1,-27.596
16,Acer,A. pseudoplatanus,moist,mix5,moist_mix_5,37,Ah1,37 Ah1,0.821,236.1,-27.531
17,Acer,A. pseudoplatanus,moist,mix5,moist_mix_5,64,Ah1,64 Ah1,0.457,225,-26.291
18,Acer,A. pseudoplatanus,moist,mix5,moist_mix_5,77,Ah1,77 Ah1,1.784,NA,NA
19,Acer,A. pseudoplatanus,moist,mix5,moist_mix_5,87,Ah1,87 Ah1,1.343,429.5,-28.156
20,Acer,A. pseudoplatanus,moist,mix5,moist_mix_5,96,Ah1,96 Ah1,NA,243.8,-27.4
21,Acer,A. pseudoplatanus,moist,mix5,moist_mix_5,120,Ah1,120 Ah1,1.553,225.8,-28.093
22,Acer,A. pseudoplatanus,moist,mix5,moist_mix_5,121,Ah1,121 Ah1,NA,348.7,-27.697
23,Acer,A. pseudoplatanus,moist,mix5,moist_mix_5,122,Ah1,122 Ah1,0.68,NA,NA
24,Acer,A. pseudoplatanus,moist,mono,moist_mono,34,Ah1,34 Ah1,0.656,169.2,-27.422
25,Acer,A. pseudoplatanus,moist,mono,moist_mono,34,Ah2,34 Ah2,0.673,NA,NA
26,Acer,A. pseudoplatanus,moist,mono,moist_mono,65,Ah2,65 Ah2,0.711,248.1,-27.22
27,Acer,A. pseudoplatanus,moist,mono,moist_mono,69,Ah1,69 Ah1,0.444,294.7,-26.39
28,Acer,A. pseudoplatanus,moist,mono,moist_mono,124,Ah1,124 Ah1,1.42,306.2,-27.88
29,Acer,A. pseudoplatanus,moist,mono,moist_mono,179,Ah2,179 Ah2,NA,305.6,-27.419
30,Acer,A. pseudoplatanus,moist,mono,moist_mono,179,Ah5,179 Ah5,1.349,NA,NA
31,Acer,A. pseudoplatanus,moist,mono,moist_mono,190,Ah3,190 Ah3,1.675,299.8,-29.211
32,Carpinus,C. betulus,dry,mix5,dry_mix_5,68,Ha1,68 Ha1,0.756,102.3,-29.25
33,Carpinus,C. betulus,dry,mix5,dry_mix_5,81,Ha1,81 Ha1,0.901,102.1,NA
