No,Pot ID,Diversity level,Species Combination,Soil Moisture,LAPot,SAPot,Tday,Trate,TLA,TSA,,
1,2,mono,F. excelsior,dry,1.407,6.267,753.44,2.85,535.50,120.22,,
2,3,mix3,A.p.-C.b.-F.e.,dry,1.429,6.531,622.27,2.36,435.52,95.28,,
3,4,mono,F. sylvatica,moist,0.591,4.156,401.94,1.52,680.64,96.71,,
4,5,mono,F. excelsior,dry,1.272,5.066,559.52,2.12,439.86,110.45,,
5,7,mix3,A.p.-C.b.-F.e.,moist,1.538,6.160,771.19,2.92,501.52,125.19,,
6,8,mix3,A.p.-F.s.-F.e.,moist,1.618,7.500,764.19,2.89,472.24,101.89,,
7,10,mix3,A.p.-C.b.-T.c.,moist,1.875,8.639,851.86,3.22,454.27,98.61,,
8,12,mono,C. betulus,dry,1.668,5.511,497.86,1.88,298.44,90.34,,
9,13,mix3,A.p.-F.s.-F.e.,dry,1.024,4.528,460.86,1.74,449.90,101.78,,
10,14,mix3,A.p.-C.b.-F.e.,moist,1.564,7.372,690.11,2.61,441.15,93.61,,
11,15,mono,T. cordata,dry,1.896,8.114,671.36,2.54,354.13,82.74,,
12,16,mono,T. cordata,dry,1.816,8.503,609.61,2.31,335.77,71.69,,
13,18,mono,C. betulus,dry,1.403,4.728,325.02,1.23,231.72,68.74,,
14,20,mix3,F.s.-F.e.-T.c.,dry,1.536,5.841,538.94,2.04,350.93,92.27,,
15,21,mono,C. betulus,dry,1.623,5.700,316.27,1.20,194.93,55.49,,
16,22,mix3,C.b.-F.s.-T.c.,dry,2.052,7.503,588.36,2.23,286.69,78.42,,
17,24,mono,A. pseudoplatanus,dry,1.132,5.224,610.02,2.31,539.01,116.77,,
18,25,mono,T. cordata,dry,1.659,7.739,552.86,2.09,333.15,71.44,,
19,26,mono,F. excelsior,moist,1.324,4.774,705.94,2.67,533.01,147.87,,
20,27,mix3,F.s.-F.e.-T.c.,dry,1.368,6.853,472.36,1.79,345.20,68.93,,
21,28,mono,F. sylvatica,dry,0.881,5.477,374.27,1.42,425.00,68.34,,
22,31,mix3,A.p.-F.s.-F.e.,dry,1.430,5.369,626.94,2.37,438.57,116.77,,
23,32,mono,F. sylvatica,dry,1.224,4.936,444.27,1.68,363.09,90.01,,
24,34,mono,A. pseudoplatanus,moist,0.952,4.717,559.03,2.12,587.30,118.51,,
25,35,mix3,A.p.-C.b.-T.c.,moist,1.472,5.439,650.53,2.46,441.97,119.60,,
26,36,mono,C. betulus,moist,1.937,7.114,779.03,2.95,402.10,109.51,,
27,37,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,moist,1.772,9.021,1001.44,3.79,565.02,111.01,,
28,38,mono,F. excelsior,moist,1.672,8.268,960.53,3.64,574.60,116.17,,
29,39,mix3,A.p.-C.b.-F.e.,dry,1.300,4.630,505.02,1.91,388.49,109.08,,
30,40,mono,C. betulus,moist,1.815,6.356,831.53,3.15,458.10,130.83,,
31,41,mono,F. excelsior,dry,1.057,4.188,576.86,2.18,545.94,137.74,,
32,43,mono,T. cordata,dry,1.900,8.038,681.19,2.58,358.45,84.75,,
33,44,mix3,A.p.-C.b.-T.c.,moist,1.367,8.162,985.19,3.73,720.92,120.70,,
34,47,mix3,C.b.-F.s.-T.c.,moist,2.031,8.282,847.03,3.21,417.09,102.27,,
35,48,mono,T. cordata,dry,1.693,7.589,697.61,2.64,412.15,91.92,,
36,50,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,dry,1.397,6.190,441.27,1.67,315.91,71.29,,
37,51,mix3,A.p.-C.b.-F.e.,dry,1.406,5.657,585.11,2.21,416.00,103.43,,
38,52,mix3,C.b.-F.s.-T.c.,dry,1.617,6.245,520.19,1.97,321.72,83.30,,
39,54,mono,F. excelsior,dry,1.245,6.329,671.86,2.54,539.77,106.16,,
40,55,mono,C. betulus,moist,1.490,5.936,730.11,2.76,490.10,123.00,,
41,56,mix3,A.p.-C.b.-T.c.,moist,2.157,6.190,803.28,3.04,372.38,129.77,,
42,57,mono,T. cordata,moist,1.319,10.970,1048.86,3.97,795.03,95.61,,
43,58,mix3,F.s.-F.e.-T.c.,dry,1.539,5.585,586.19,2.22,380.77,104.96,,
44,59,mono,T. cordata,dry,1.953,10.199,674.11,2.55,345.19,66.10,,
45,60,mix3,A.p.-C.b.-F.e.,moist,1.859,8.573,1036.61,3.92,557.64,120.92,,
46,62,mix3,C.b.-F.s.-T.c.,moist,1.508,6.511,901.03,3.41,597.45,138.39,,
47,63,mono,A. pseudoplatanus,dry,0.769,3.803,460.11,1.74,598.18,120.99,,
48,64,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,moist,1.855,8.608,1020.28,3.86,550.06,118.53,,
49,65,mono,A. pseudoplatanus,moist,0.866,5.642,593.94,2.25,685.73,105.27,,
50,66,mono,F. excelsior,moist,1.199,5.374,748.11,2.83,623.96,139.21,,
51,67,mono,F. sylvatica,moist,1.615,7.045,845.19,3.20,523.25,119.97,,
52,68,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,dry,1.505,6.568,596.19,2.26,396.10,90.77,,
53,69,mono,A. pseudoplatanus,moist,1.113,5.282,606.53,2.30,544.94,114.83,,
54,71,mono,T. cordata,moist,1.687,9.996,982.53,3.72,582.25,98.29,,
55,72,mono,F. sylvatica,dry,1.401,5.646,518.02,1.96,369.75,91.75,,
56,73,mix3,F.s.-F.e.-T.c.,dry,1.581,7.005,626.36,2.37,396.15,89.42,,
57,74,mix3,A.p.-C.b.-T.c.,dry,1.385,5.703,546.44,2.07,394.53,95.82,,
58,75,mix3,A.p.-C.b.-T.c.,moist,1.575,7.840,1013.86,3.84,643.63,129.32,,
59,77,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,moist,1.121,6.392,615.61,2.33,549.39,96.31,,
60,79,mix3,A.p.-F.s.-F.e.,dry,0.879,4.066,358.94,1.36,408.27,88.28,,
61,80,mix3,A.p.-C.b.-T.c.,dry,1.718,5.827,491.11,1.86,285.78,84.28,,
62,81,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,dry,1.236,5.770,380.52,1.44,307.76,65.95,,
63,82,mix3,A.p.-C.b.-F.e.,moist,1.107,5.797,587.61,2.22,531.00,101.36,,
64,84,mix3,A.p.-C.b.-T.c.,dry,1.385,5.939,516.69,1.96,372.96,87.00,,
65,85,mono,F. sylvatica,moist,1.651,6.137,786.53,2.98,476.30,128.16,,
66,86,mix3,C.b.-F.s.-T.c.,dry,1.668,6.417,536.94,2.03,321.83,83.67,,
67,87,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,moist,1.580,6.241,1107.19,4.19,700.77,177.41,,
68,90,mono,T. cordata,moist,1.812,8.889,1027.11,3.89,566.88,115.55,,
69,92,mix3,C.b.-F.s.-T.c.,moist,1.761,7.565,970.53,3.67,551.09,128.29,,
70,93,mono,C. betulus,moist,1.137,4.861,593.61,2.25,522.19,122.12,,
71,94,mono,C. betulus,moist,1.876,6.167,785.53,2.97,418.68,127.38,,
72,95,mono,F. excelsior,moist,2.193,6.972,1172.19,4.44,534.58,168.13,,
73,96,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,moist,1.418,6.005,783.28,2.96,552.20,130.44,,
74,97,mono,A. pseudoplatanus,dry,0.498,2.643,268.69,1.02,539.11,101.66,,
75,100,mix3,C.b.-F.s.-T.c.,dry,1.690,6.557,411.19,1.56,243.27,62.71,,
76,103,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,dry,1.479,5.435,593.36,2.25,401.19,109.17,,
77,104,mono,F. excelsior,dry,1.191,5.846,512.11,1.94,430.06,87.60,,
78,106,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,dry,1.398,5.846,619.94,2.35,443.49,106.05,,
79,107,mix3,A.p.-F.s.-F.e.,dry,1.288,4.765,636.44,2.41,494.31,133.57,,
80,108,mono,F. excelsior,dry,1.391,4.875,622.27,2.36,447.49,127.65,,
81,109,mix3,F.s.-F.e.-T.c.,moist,1.749,8.928,985.61,3.73,563.65,110.40,,
82,111,mono,F. excelsior,moist,1.594,4.895,1012.03,3.83,635.00,206.75,,
83,114,mix3,C.b.-F.s.-T.c.,moist,1.915,8.701,972.28,3.68,507.82,111.74,,
84,115,mix3,C.b.-F.s.-T.c.,moist,1.981,8.339,927.03,3.51,467.95,111.17,,
85,117,mono,A. pseudoplatanus,dry,0.928,4.626,412.44,1.56,444.53,89.16,,
86,118,mono,C. betulus,dry,1.574,4.873,393.19,1.49,249.83,80.69,,
87,120,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,moist,1.697,8.395,864.69,3.27,509.61,103.00,,
88,121,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,moist,1.473,8.426,909.44,3.44,617.31,107.93,,
89,122,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,moist,1.455,7.406,823.28,3.12,565.64,111.16,,
90,123,mono,F. sylvatica,moist,1.625,8.369,1079.19,4.08,663.99,128.95,,
91,124,mono,A. pseudoplatanus,moist,0.929,4.278,533.78,2.02,574.49,124.77,,
92,126,mix3,C.b.-F.s.-T.c.,moist,2.126,7.630,1037.86,3.93,488.28,136.02,,
93,128,mix3,F.s.-F.e.-T.c.,moist,1.956,8.359,1091.61,4.13,558.16,130.59,,
94,129,mix3,A.p.-C.b.-F.e.,moist,1.660,6.944,1036.03,3.92,624.17,149.20,,
95,131,mono,A. pseudoplatanus,dry,0.714,2.790,327.69,1.24,459.12,117.45,,
96,132,mix3,F.s.-F.e.-T.c.,moist,2.166,9.745,1115.19,4.22,514.91,114.44,,
97,133,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,dry,1.462,6.847,521.69,1.97,356.78,76.19,,
98,134,mono,C. betulus,dry,1.373,5.252,363.69,1.38,264.88,69.25,,
99,135,mix3,F.s.-F.e.-T.c.,dry,1.702,7.004,568.94,2.15,334.22,81.23,,
100,136,mix3,A.p.-C.b.-F.e.,dry,1.498,5.878,578.44,2.19,386.18,98.41,,
101,137,mix3,A.p.-C.b.-T.c.,dry,1.490,6.760,425.44,1.61,285.60,62.93,,
102,138,mix3,A.p.-C.b.-F.e.,moist,1.340,4.998,705.36,2.67,526.20,141.13,,
103,139,mix3,C.b.-F.s.-T.c.,dry,1.572,7.677,617.19,2.34,392.67,80.39,,
104,142,mono,F. sylvatica,dry,0.983,4.682,329.77,1.25,335.42,70.43,,
105,143,mix3,A.p.-C.b.-F.e.,dry,0.968,4.955,519.11,1.96,536.04,104.76,,
106,144,mono,A. pseudoplatanus,dry,0.507,2.267,244.86,0.93,483.33,108.01,,
107,146,mix3,A.p.-C.b.-T.c.,moist,1.090,5.039,445.03,1.68,408.45,88.32,,
108,147,mix3,A.p.-C.b.-T.c.,moist,1.991,8.671,755.78,2.86,379.57,87.16,,
109,148,mono,F. sylvatica,dry,0.729,4.502,239.02,0.90,327.76,53.09,,
110,149,mix3,A.p.-F.s.-F.e.,moist,1.451,6.313,988.36,3.74,681.26,156.56,,
111,150,mix3,F.s.-F.e.-T.c.,moist,1.725,8.514,1079.36,4.09,625.75,126.77,,
112,151,mono,T. cordata,moist,2.014,9.348,1041.78,3.94,517.37,111.44,,
113,153,mix3,F.s.-F.e.-T.c.,moist,1.898,9.117,1189.69,4.50,626.84,130.49,,
114,155,mix3,A.p.-F.s.-F.e.,dry,1.015,5.770,454.52,1.72,447.85,78.77,,
115,156,mix3,A.p.-F.s.-F.e.,dry,1.175,4.606,425.11,1.61,361.90,92.29,,
116,157,mono,F. excelsior,moist,1.408,3.909,842.53,3.19,598.52,215.53,,
117,158,mix3,C.b.-F.s.-T.c.,moist,2.123,7.884,953.19,3.61,448.91,120.90,,
118,159,mono,T. cordata,moist,1.814,8.461,1111.53,4.21,612.71,131.37,,
119,161,mono,C. betulus,moist,1.619,4.882,980.86,3.71,605.99,200.91,,
120,162,mono,F. sylvatica,moist,1.207,8.309,752.44,2.85,623.47,90.56,,
121,163,mix3,A.p.-C.b.-F.e.,moist,1.526,5.402,905.44,3.43,593.39,167.61,,
122,164,mono,T. cordata,moist,1.517,7.032,952.36,3.60,628.00,135.43,,
123,168,mono,A. pseudoplatanus,dry,0.657,6.074,385.27,1.46,586.84,63.43,,
124,169,mix5,A.p.-C.b.-F.s.-F.e.-T.c.,dry,1.640,2.961,709.52,2.69,432.74,239.62,,
125,170,mono,C. betulus,dry,1.580,6.121,508.36,1.92,321.66,83.05,,
126,171,mono,T. cordata,dry,1.948,5.281,814.77,3.08,418.18,154.28,,
127,173,mix3,A.p.-F.s.-F.e.,moist,1.122,4.986,670.61,2.54,597.83,134.50,,
128,174,mix3,A.p.-C.b.-F.e.,dry,1.342,5.315,608.52,2.30,453.56,114.49,,
129,176,mono,F. sylvatica,dry,1.265,4.468,422.44,1.60,333.86,94.55,,
