,Vcmax_m_25,Rdarka_25C_FixedQ10,Predicted Link,Species,Source Scientific,Destination Scientific
0,,0.15,0,Piper sancti-felicis,Lupinus perennis,Claytonia perfoliata
1,719.7,0.38,1,Pentaclethra macroloba,Lupinus perennis,Claytonia perfoliata
2,,0.45,0,Bischofia javanica,Lupinus perennis,Claytonia perfoliata
3,493.0,0.37,1,Acer saccharum,Lupinus perennis,Claytonia perfoliata
4,1013.5,0.39,1,Acer platanoides,Lupinus perennis,Dudleya caespitosa
5,588.2,0.34,1,Acer saccharum,Lupinus perennis,Ixeris stolonifera
6,,0.66,0,Quercus velutina,Lupinus perennis,Lactuca biennis
7,459.7,0.46,1,Alchornea triplinervia,Lupinus perennis,Lactuca canadensis
8,552.4,0.59,1,Uncaria tomentosa,Lupinus perennis,Lactuca L.
9,,,1,Pinus banksiana,Lupinus perennis,Lactuca floridana
10,145.6,1.28,1,Caraipa punctulata,Lupinus perennis,Lactuca floridana
11,391.8,1.5,1,Cespedesia spathulata,Lupinus perennis,Lactuca floridana
12,221.1,2.21,1,Chaunochiton kappleri,Lupinus perennis,Lactuca graminifolia
13,240.1,1.08,1,Dipteryx micrantha,Lupinus perennis,Lactuca graminifolia
14,88.0,1.49,1,Guatteria schomburgkiana,Lupinus perennis,Lactuca graminifolia
15,164.5,1.61,1,Hevea pauciflora,Lupinus perennis,Lactuca hirsuta
16,248.1,0.45,1,Inga striata,Lupinus perennis,Lactuca hirsuta
17,200.4,1.57,1,Iryanthera lancifolia,Lupinus perennis,Lactuca hirsuta
18,,0.84,0,Licania arachnoidea,Lupinus perennis,Lactuca hirsuta
19,216.3,0.96,1,Minquartia guianensis,Lupinus perennis,Lactuca indica
20,490.6,0.91,1,Pourouma guianensis subsp guianensis,Lupinus perennis,Lactuca ludoviciana
21,257.8,1.18,1,Pouteria subrotata,Lupinus perennis,Lactuca ×morssii
22,260.1,1.22,1,Ruptiliocarpon caracolito,Lupinus perennis,Lactuca saligna
23,53.4,0.74,1,Senefeldera inclinata,Lupinus perennis,Lactuca sativa
24,71.4,1.12,1,Solanum kioniotrichum,Lupinus perennis,Lactuca serriola
25,128.4,0.87,1,Swartzia polyphylla,Lupinus perennis,Lactuca tatarica
26,108.4,1.4,1,Taralea oppositifolia,Lupinus perennis,Lactuca tatarica
27,180.3,0.76,1,Aniba perutilis,Lupinus perennis,Lactuca virosa
28,188.9,2.15,1,Aspidosperma desmanthum,Lupinus perennis,Montia bostockii
29,182.1,1.42,1,Aspidosperma excelsum,Lupinus perennis,Montia chamissoi
30,121.5,1.35,1,Brosimum potabile,Lupinus perennis,Montia dichotoma
31,95.0,1.04,1,Calyptranthes bipennis,Lupinus perennis,Montia diffusa
32,404.9,0.5,1,Diplotropis sp,Lupinus perennis,Montia fontana
33,55.4,1.56,1,Emmotum floribundum,Lupinus perennis,Montia howellii
34,140.5,1.21,1,Guatteria decurrens,Lupinus perennis,Montia linearis
35,120.5,1.17,1,Humiria balsamifera,Lupinus perennis,Montia L.
36,67.5,2.05,1,Hymenolobium nitidum,Lupinus perennis,Montia parvifolia
37,136.2,3.56,1,Licania unguiculata,Lupinus perennis,Montia parvifolia
38,161.7,1.32,1,Macrolobium microcalyx,Lupinus perennis,Montia parvifolia
39,207.0,0.6,1,Micrandra elata,Lupinus perennis,Mycelis muralis
40,203.7,0.37,1,Micrandra spruceana,Lupinus perennis,Ottelia alismoides
41,131.7,0.55,1,Ocotea aciphylla,Lupinus perennis,Pinaropappus Less.
42,50.1,0.92,1,Ocotea myriantha,Lupinus perennis,Pinaropappus parvus
43,137.8,1.74,1,Pouteria oblanceolata,Lupinus perennis,Pinaropappus roseus
44,247.3,0.96,1,Roucheria schomburgkii,Lupinus perennis,Pinaropappus roseus
45,157.7,1.34,1,Simarouba amara,Lupinus perennis,Pinaropappus roseus
46,,0.88,0,Tachigali bracteosa,Lupinus perennis,Pistia stratiotes
47,191.5,1.21,1,Tapirira guianensis,Lupinus perennis,Saxifraga micranthidifolia
48,250.5,1.64,1,Virola pavonis,Lupinus perennis,Stephanomeria blairii
49,123.2,1.14,1,Caraipa utilis,Lupinus perennis,Stephanomeria cichoriacea
50,166.8,1.05,1,Chrysophyllum sanguinolentum,Lupinus perennis,Stephanomeria diegensis
51,35.1,0.86,1,Cupania diphylla,Lupinus perennis,Stephanomeria elata
52,172.3,0.73,1,Cybianthus nestorii,Lupinus perennis,Stephanomeria Nutt.
53,128.7,1.11,1,Dendropanax resinosus,Lupinus perennis,Stephanomeria exigua
54,226.5,1.25,1,Dicymbe uaiparuensis,Lupinus perennis,Stephanomeria exigua
55,54.5,1.34,1,Emmotum floribundum,Lupinus perennis,Stephanomeria exigua
56,220.8,1.3,1,Emmotum sp,Lupinus perennis,Stephanomeria exigua
57,97.5,0.93,1,Eugenia macrocalyx,Lupinus perennis,Stephanomeria exigua
58,159.1,1.59,1,Hevea pauciflora,Lupinus perennis,Stephanomeria exigua
59,497.2,0.82,1,Jacqueshuberia loretensis,Lupinus perennis,Stephanomeria fluminea
60,192.8,0.83,1,Sloanea robusta,Lupinus perennis,Stephanomeria lactucina
61,196.8,1.44,1,Virola pavonis,Lupinus perennis,Stephanomeria malheurensis
62,126.5,0.81,1,Williamodendron spectabile,Lupinus perennis,Stephanomeria minor
63,142.6,1.42,1,Quercus ilex,Lupinus perennis,Stephanomeria minor
64,143.3,1.21,1,Quercus ilex,Lupinus perennis,Stephanomeria minor
65,344.6,0.66,1,Barkyla syringifolia,Lupinus perennis,Stephanomeria minor
66,1421.7,2.26,1,Eucalyptus accedens,Lupinus perennis,Stephanomeria paniculata
67,296.5,0.94,1,Goodenia ovata,Lupinus perennis,Stephanomeria parryi
68,174.1,0.74,1,Hakea marginata,Lupinus perennis,Stephanomeria pauciflora
69,211.9,0.39,1,Persoonia procumbens,Lupinus perennis,Stephanomeria runcinata
70,653.3,1.03,1,Acer rubrum,Lupinus perennis,Stephanomeria schottii
71,404.4,0.66,1,Acer saccharum,Lupinus perennis,Stephanomeria thurberi
72,923.8,1.3,1,Betula papyrifera,Lupinus perennis,Stephanomeria virgata
73,805.2,1.63,1,Populus tremuloides,Lupinus perennis,Stephanomeria virgata
74,1080.4,1.16,1,Quercus macrocarpa,Lupinus perennis,Stephanomeria virgata
75,954.2,1.11,1,Quercus rubra,Lupinus perennis,Stephanomeria wrightii
76,1015.2,1.05,1,Rhamnus cathartica,Lupinus perennis,Ulva clathratioides
